game,Modes,Genre,Description
mortal kombat 11,"Fighting, Action","SP,MP","MK is back and better than ever in the next evolution of the iconic franchise.
The all new Custom Character Variations give you unprecedented control of your fighters to make them your own. The new graphics engine showcases every skull-shattering, eye-popping moment, bringing you so close to the fight you can feel it. Featuring a roster of new and returning Klassic Fighters, Mortal Kombat's best-in-class cinematic story mode continues the epic saga over 25 years in the making."
valorant,"Fighting, Shooter",MP,"Valorant is a team-based first-person tactical hero shooter set in the near future.[3][4][5][6] Players play as one of a set of Agents, characters based on several countries and cultures around the world.[6] In the main game mode, players are assigned to either the attacking or defending team with each team having five players on it. Agents have unique abilities, each requiring charges, as well as a unique ultimate ability that requires charging through kills, deaths, orbs, or objectives. Every player starts each round with a ""classic"" pistol and one or more ""signature ability"" charges.[4] Other weapons and ability charges can be purchased using an in-game economic system that awards money based on the outcome of the previous round, any kills the player is responsible for, and any objectives completed. The game has an assortment of weapons including secondary guns like sidearms and primary guns like submachine guns, shotguns, machine guns, assault rifles and sniper rifles.[7][8] There are automatic and semi-automatic weapons that each have a unique shooting pattern that has to be controlled by the player to be able to shoot accurately.[8] It currently offers 20 agents to choose from.[2][9] "
brotato,"Action, Casual, Indie, RPG, Early Access",SP,"A spaceship from Potato World crashes onto an alien planet. The sole survivor: Brotato, the only potato capable of handling 6 weapons at the same time. Waiting to be rescued by his mates, Brotato must survive in this hostile environment."
chivalry 2,"Action, Hack and slash",MP,"Chivalry 2 is a multiplayer first person slasher inspired by epic medieval movie battles. Players are thrust into the action of every iconic moment of the era - from clashing swords, to storms of flaming arrows, to sprawling castle sieges and more."
fortnite,"Third-person shooter, battle royale","SP,MP","In Fortnite, players collaborate to survive in an open-world environment, by battling other characters who are controlled either by the game itself, or by other players. The single-player or multiplayer mode, called 'Save the World', involves fighting off zombie-like creatures."
apex legends,"Action, Adventure, Free to Play, 	Battle royale, first-person shooter",MP,"Apex Legends is an online multiplayer battle royale game featuring squads of three players using pre-made characters with distinctive abilities, called ""Legends"", similar to those of hero shooters. Alternate modes have been introduced allowing for single and for two-player squads since the game's release."
sports,,,
among us,Casual,MP,An online and local party game of teamwork and betrayal for 4-15 players...in space!
overwatch 2,first-person shooter,MP,"Overwatch 2 is a free-to-play, team-based action game set in the optimistic future, where every match is the ultimate 5v5 battlefield brawl. Play as a time-jumping freedom fighter, a beat-dropping battlefield DJ, or one of over 30 other unique heroes as you battle it out around the globe."
just dance 2015,"Causal, Rhythm","SP,MP","Just Dance is a motion-based dance video game for multiple players, with each game including a collection of classic and modern songs each with its own dance choreographies. During each song, players mirror a dance performed by dancers on the screen, following moves that appear as pictorials on the bottom right corner of the screen, and are awarded for their accuracy. Additionally, there are gold moves in which players must strike a pose or complete the hardest move in the dance in order to earn bonus points."
phasmophobia,"Action, Indie, Early Access","SP,MP",Phasmophobia is a 4 player online co-op psychological horror where you and your team members of paranormal investigators will enter haunted locations filled with paranormal activity and gather as much evidence of the paranormal as you can. You will use your ghost hunting equipment to search for and record evidence of whatever ghost is haunting the location to sell onto a ghost removal team.
nba 2k23,"Sports, Simulation","SP,MP",
dayz,"Survival, Action, Adventure, Massively Multiplayer",MP,"The goal of DayZ is to stay alive and healthy during the conditions of the zombie outbreak that have befallen the in-game world. The player begins equipped with only simple clothes, a glow stick and half of a bandage, and must begin exploring the large 225 km2 (87 sq mi) landscape of the fictional former Soviet Republic of Chernarus to investigate locations such as houses, barns, and apartments to scavenge supplies.[3][4][5] These supplies include food and water, which are basic keys to prolonging the player's life.[6][7] Beyond the basics of survival, players can find various forms of clothing, which allow customization, extra storage space for supplies, and warmth.[8] Also scattered around the map are a variety of weapons, allowing players to protect themselves from zombies, and other players if necessary. These are largely focused on a range of melee weapons, but a number of firearms are present, along with attachments such as suppressors and telescopic sights. Additionally, the game features gas attacks, which launch a deadly gas, causing the player to bleed and vomit, eventually resulting in unconsciousness and death, unless they leave this zone and find suitable medical treatment. Characters may use an NBC suit and gas mask to prevent damage. Player interaction is a major part of DayZ gameplay. The game provides proximity voice chat and text chat. It also provides in-game gestures, such as waving, or putting hands up to indicate surrender."
mario party,"Causal, Party","SP,MP","In the game, Mario must race through the Mushroom Kingdom and save Princess Toadstool (later Princess Peach) from Bowser. Mario jumps, runs, and walks across each level. The worlds are full of enemies and platforms, and open holes."
talk shows  podcasts,Casual,,
grand theft auto,"Action, Adventure",SP,"Grand Theft Auto is an action-adventure game played from either a third-person or first-person perspective. Players complete missions—linear scenarios with set objectives—to progress through the story. Outside of the missions, players may freely roam the open world."
league of legends,MOBA,MP,"League of Legends is a team-based strategy game where two teams of five powerful champions face off to destroy the other's base. Choose from over 140 champions to make epic plays, secure kills, and take down towers as you battle your way to victory."
rampage knights,"Action, Adventure, Indie","SP,MP",The player controls a Knight who fights enemies in a procedurally generated dungeon. He can upgrade his character as he progresses in the game and also buy him better equipment. The player can also unlock new characters. The fighting system is based on Golden Axe. The game can also be played in cooperative multiplayer on one computer
stress test,"Action, Adventure, RPG, Strategy",MP,"Stress Test is a Third Person/First-person Shooter Where You Embark on Different Journeys While trying to Survive the Pending Zombie Apocalypse in this Fantasy Comic Book Style Rpg Zombie Shooter With Different Characters, Weapons and Enchantments to Help You On Your Journey"
jackbox party packs,"Casual, Party, Indie, Strategy",MP,
the forest,"Survival, Action, Adventure, Indie, Simulation","SP,MP","As the lone survivor of a passenger jet crash, you find yourself in a mysterious forest battling to stay alive against a society of cannibalistic mutants. Build, explore, survive in this terrifying first person survival horror simulator."
dark and darker,"Free to Play, Fantasy, Adventure",SP,"An unforgiving hardcore fantasy FPS dungeon PvPvE adventure. Band together with your friends and use your courage, wits, and cunning to uncover mythical treasures, defeat gruesome monsters, while staying one step ahead of the other devious treasure-hunters."
tower of fantasy,"Action, Role-play, RPG","SP,MP","Embark together on your fantasy adventure! Set hundreds of years in the future on the distant planet of Aida, the shared open-world RPG, anime-infused sci-fi adventure Tower of Fantasy now is officially available on Steam."
rust,Survival,MP,"The objective of Rust is to survive in the wilderness using gathered or stolen materials. Players must successfully manage their hunger, thirst, and health, or risk dying. Despite the presence of hostile animals such as bears and wolves, the primary threat to the player is other players due to the game being solely multiplayer. Combat is accomplished through firearms and various weapons, such as bows. In addition, vehicles controlled by non-player characters will occasionally roam, attacking armed players. Rust features crafting, though initially limited until the discovery of specific items in the game's open world. To stay protected, players must build bases or join clans to improve their chance of survival. Raiding is a major aspect of Rust. Rust supports modded servers which can add additional content."
labyrinthian,"Adventure, Horror","SP,MP","Labyrinthine is a horror game that can be played solo or co-operatively online that may just make you never want to enter a maze again. As you navigate the dark corridors, you will be faced with puzzles, scares and Horrifying monsters with unique AI’s designed to hunt you down."
minecraft,"Survival, Action, Adventure, RPG","SP,MP","Fight your way through an exciting action-adventure game, inspired by classic dungeon crawlers and set in the Minecraft universe! Brave the dungeons alone, or team up with friends! Up to four players can battle together through action-packed, treasure-stuffed, wildly varied levels – all in an epic quest to save the villagers and take down the evil Arch-Illager!"
the mortuary assistant," Adventure, Indie, Simulation",SP,"Having completed your degree in mortuary sciences, you have taken on an apprenticeship at River Fields Mortuary. Over the past several months you have logged many hours aiding the Mortician in daily tasks along with learning the ins and outs of the embalming process as well as how to properly handle and care for the deceased.

Late one night, you are called into work to handle some embalmings. Death doesn’t keep day time hours. But there is something different about these bodies because there is something different about you. The phone rings with the Mortician on the other end. The rumors are true, and you can not leave."
world of warcraft,Role-play,MP,"Four years have passed since the aftermath of Warcraft III: Reign of Chaos, and a great tension now smolders throughout the ravaged world of Azeroth. As the battle-worn races begin to rebuild their shattered kingdoms, new threats, both ancient and ominous, arise to plague the world once again. orld of Warcraft is an online role-playing experience set in the award-winning Warcraft universe. Players assume the roles of Warcraft heroes as they explore, adventure, and quest across a vast world."
dota 2,"Action, Free to Play, Strategy, MOBA",MP,"Dota 2 is a multiplayer online battle arena (MOBA) video game in which two teams of five players compete to destroy a large structure defended by the opposing team known as the ""Ancient"" whilst defending their own.[1][2] As in Defense of the Ancients, the game is controlled using standard real-time strategy controls, and is presented on a single map in a three-dimensional isometric perspective.[1][3] Ten players each control one of the game's 123 playable characters, known as ""heroes"", with each having their own design, strengths, and weaknesses.[1][2][4] Heroes are divided into two primary roles, known as the core and support.[5][6]"
the chant,"Action, third-person shooter",SP,"The Chant is a single-player, third person horror action-adventure game set on a remote spiritual island retreat. To survive you must craft, fight, and escape the psychedelic horrors set loose when a ritual goes wrong and awakens a dimension of cosmic terror."
old school runescape,Role-play,MP,"Old School RuneScape is an MMORPG with adventure elements. It features a persistent world in which players can interact with each other and the environment. The basic mechanics are largely the same as RuneScape on 10 August 2007. The player controls a single (human) character and can interact with NPCs, objects, and entities in the game world by left-clicking, or selecting an option from the object's right-click menu, since many objects can offer more than one interaction option. Users can gain experience points (exp.) and level up individual skills, making their playable character more powerful or more capable of using that skill."
left 4 dead 2,"First-person shooter, survival, horror","SP,MP","each campaign is presented in menus and loading screens as a film starring the four Survivors; and features, upon completing a campaign, a faux credits screen which acts as the final scoreboard for the players and recaps certain performance statistics for the group. In every campaign, most levels involve the Survivors attempting to reach a safe zone and close the door once they are all safely inside. However, the final level in each campaign requires the Survivors to call for rescue and either survive a prolonged onslaught until rescue arrives, pass through an especially challenging gauntlet of Infected to reach an escape vehicle, or (in Dead Center and The Passing) collect and utilize fuel cans to enable their escape"
