id,login,display_name,type,broadcaster_type,description,view_count
19571641,ninja,Ninja,,,"Ninja streams EVERYWHERE. Twitch, YouTube, Facebook, Twitter, Instagram & TikTok",572461481
459331509,auronplay,auronplay,,partner,feliz pero no mucho ,262821738
39276140,rubius,Rubius,,partner,se contar hasta patata,273180519
83232866,ibai,ibai,,partner,Si lees esto que sepas que te aprecio,359339108
71092938,xqc,xQc,,partner,THE BEST AT ABSOLUTELY EVERYTHING. THE JUICER. LEADER OF THE JUICERS.,524730962
60056333,tfue,Tfue,,partner,@Tfue on Socials,310427076
37402112,shroud,shroud,,partner,I'm back baby,570770965
48878319,thegrefg,TheGrefg,,partner,"Hola, me llamo David aunque la gente me llama ""TheGrefg"" y me gusta entretener =) Business: contact@thegrefg.com",263195635
121510236,juansguarnizo,juansguarnizo,,partner,"Juan Sebastián Guarnizo conocido artísticamente como JuanSGuarnizo (abreviado Juanito), es un productor musical colombiano. Es conocido por sus Juan Music Sessions y sus Juan Freestyle Sessions, sesiones que realiza junto a otros artistas.",167524461
44445592,pokimane,pokimane,,partner,"Welcome to my channel! :) I play a variety of games, chat, stream IRL & more! I love interacting with my chat & making others happy, so come say hi!",219814873
26301881,sodapoppin,sodapoppin,,partner,"Wtf do i write here? Click my stream, or i scream.",398389356
96419668,heelmike,Heelmike,,partner,Its not being cocky. It’s just confidence.,8434167
110690086,myth,Myth,,,Keep Believing ✌🏽 - FPS / Variety Streamer. 23 years old. Half Black / Half Lebanese. - Business Email : myth@loaded.gg,167569029
116228390,tommyinnit,tommyinnit,,partner,incredibly influential gamer,64203489
36769016,timthetatman,TimTheTatman,,,"Gamer, nerd, geek. Streaming mostly FPS/Whatevs/Yolo. Feel welcomed, talk to me, and be yourself. Welcome to the #tatmanarmy, one of the most interactive communities on twitch!",262024069
59299632,adinross,AdinRoss,,partner,business email - contactadinross@gmail.com,52369858
15564828,nickmercs,NICKMERCS,,partner,"Former MLG National Champion. A fellow gym rat, who streams mostly Competitive Shooters! Thank you all so much for your continued support. Follow the stream and my Twitter account to be notified when I will be going live - @Nickmercs ",222844538
32140000,sypherpk,SypherPK,,partner,26 year old professional streamer and educational commentator -- Follow the stream for a mix of competitiveness and content creation! -- @SypherPK on all socials for updates and more. #PKHOOD👹,111968384
451544676,dream,Dream,,partner,"Hey, I'm Dream on Youtube. https://www.youtube.com/dream I play Minecraft and do other shenanigans ",17296428
26490481,summit1g,summit1g,,partner,I'm a variety streamer(kind of). Been streaming since 2012(ish). I'm 100% better than you at shooting and puzzle games. I tweet when I go live @summit1g on Twitter.,505141393
125387632,amouranth,Amouranth,,partner,WOOF WOOF 💜BARK FOR ME💜,401259961
38244180,alanzoka,alanzoka,,partner,To sempre jogando alguma coisa aí.,205713417
496795673,elmariana,ElMariana,,partner,"Me gusta hacer desmadre, jalate y pasemos un buen rato juntos.",33316325
157658336,elspreen,ElSpreen,,partner,Que onda gente,32897887
31239503,esl_csgo,ESL_CSGO,,partner,Home of all CSGO broadcasts of @ESL - the world's largest esports company! ,770388686
